scene,sarcasm,implicit_emotion,explicit_emotion,sentence,v_audio,a_audio,v_text,a_text,div_euclidean,div_v_signed,div_a_signed,div_v_abs,div_a_abs
1_10009,0,Happiness,Happiness,"Let the dead man talk. So, why do you think that?",0.6475165486335754,0.7942030429840088,0.5344193385584691,0.5019292898385693,0.3133926063334839,0.11309721007510631,0.29227375314543946,0.11309721007510631,0.29227375314543946
1_1001,0,Excitement,Excitement,"What else? Sell it on eBay as ""slightly used.""",0.571686863899231,0.6910407543182373,0.5102857704732813,0.4408605122190491,0.2576048287798787,0.06140109342594968,0.2501802420991882,0.06140109342594968,0.2501802420991882
1_105,1,Disgust,Neutral,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,0.620890736579895,0.8643413782119751,0.5124199213356653,0.37216569896436946,0.5039869214598627,0.10847081524422975,0.49217567924760564,0.10847081524422975,0.49217567924760564
1_10810,0,Neutral,Neutral,I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.,0.7707436680793762,0.6928087472915649,0.5260768820786451,0.3709077409988717,0.40432919017080143,0.2446667860007311,0.32190100629269325,0.2446667860007311,0.32190100629269325
1_10853,0,Sadness,Sadness,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was,",0.5262654423713684,0.6210645437240601,0.5357653089943831,0.3983275567903259,0.22293948240312558,-0.009499866623014719,0.22273698693373417,0.009499866623014719,0.22273698693373417
1_10977,0,Sadness,Sadness,Let's not talk about this in front of our friends.,0.5519286394119263,0.6718360185623169,0.39569991148710776,0.4358864101161422,0.28298345031982014,0.1562287279248185,0.23594960844617469,0.1562287279248185,0.23594960844617469
1_11120,0,Neutral,Neutral,"Next time I might be in a rush, it's good to have a few in the bank.",0.7097285389900208,0.7216286659240723,0.7749107675328136,0.593828998981367,0.14346246125196405,-0.06518222854279287,0.12779966694270528,0.06518222854279287,0.12779966694270528
1_11236,0,Anger,Anger,"Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.",0.48983779549598694,0.8202005624771118,0.4161406224073341,0.4316394999657052,0.3954882711551027,0.07369717308865281,0.3885610625114066,0.07369717308865281,0.3885610625114066
1_11253,0,Happiness,Happiness,"So as they say, all good things must come to an end.",0.7048282623291016,0.7871694564819336,0.5650459042224344,0.43456361645686586,0.379301972124644,0.13978235810666717,0.35260584002506773,0.13978235810666717,0.35260584002506773
1_11439,1,Disgust,Neutral,"No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.",0.6902539730072021,0.7511402368545532,0.6880886923356808,0.43959929405591736,0.3115484673052483,0.00216528067152133,0.31154094279863587,0.00216528067152133,0.31154094279863587
1_11529,0,Neutral,Neutral,"And how difficult it is to do when she's bloated, cranky and crampy?",0.35357150435447693,0.670390248298645,0.4296219909007124,0.48234917433372343,0.20283767401989272,-0.07605048654623547,0.1880410739649216,0.07605048654623547,0.1880410739649216
1_11723,0,Sadness,Sadness,"Not much, but he seemed to be in a pretty good place.",0.48128005862236023,0.6360194087028503,0.761999440316779,0.5276757141630029,0.30090152443189877,-0.2807193816944188,0.10834369453984749,0.2807193816944188,0.10834369453984749
1_11736,0,Sadness,Sadness,"I don't know, perhaps somebody took it off the carousel by mistake?",0.24497239291667938,0.6166784763336182,0.42814098902324316,0.533506866892196,0.20116722202368348,-0.18316859610656377,0.08317160944142221,0.18316859610656377,0.08317160944142221
1_1180,1,Frustration,Sadness,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",0.5969210267066956,0.7720416784286499,0.5465041306164409,0.40046642667710663,0.3749800409696472,0.05041689609025468,0.37157525175154327,0.05041689609025468,0.37157525175154327
1_1185,0,Happiness,Happiness,I think tonight was a very good start.,0.9076569676399231,0.7143281102180481,0.7808329608693663,0.5325569864712786,0.2216417607796456,0.12682400677055683,0.18177112374676951,0.12682400677055683,0.18177112374676951
1_11889,0,Happiness,Happiness,"Yeah, we just want to have the kind of dinner that we've all had here so many times before.",0.843616247177124,0.6912530660629272,0.6741738254918943,0.5870332692249639,0.19892837987452058,0.16944242168522972,0.10421979683796334,0.16944242168522972,0.10421979683796334
1_11913,1,Ridicule,Sadness,It's why my people wandered the desert for 40 years. Took that long to walk it off.,0.45580095052719116,0.5906744003295898,0.5698673875424892,0.4436126813536728,0.18611367827625286,-0.11406643701529806,0.14706171897591702,0.11406643701529806,0.14706171897591702
1_12202,1,Sadness,Neutral,"No need to. As soon as she flies into California airspace, I'll feel a disturbance in the Force.",0.6105605363845825,0.7309933304786682,0.49315135404049326,0.3898721105216621,0.36076114369990536,0.11740918234408926,0.3411212199570061,0.11740918234408926,0.3411212199570061
1_12320,0,Fear,Fear,"Oh, yes, we've got the moon and the trees and... Elizabeth McNulty, who apparently died when she was the same age I am.",0.7311704158782959,0.6987115144729614,0.61867157899287,0.4838098937009312,0.24256688749913738,0.11249883688542595,0.21490162077203023,0.11249883688542595,0.21490162077203023
1_12331,0,Surprise,Surprise,"Wow, there's a Denny's in Vegas you can actually get married in.",0.530805230140686,0.7048998475074768,0.7241081628754656,0.7431278897786281,0.1970467127859576,-0.1933029327347796,-0.038228042271151286,0.1933029327347796,0.038228042271151286
1_1262,0,Neutral,Neutral,You were very clear. As was everyone else at the table.,0.6238540410995483,0.5545037388801575,0.6747965359657552,0.4316083548825802,0.13303538322982153,-0.05094249486620683,0.12289538399757727,0.05094249486620683,0.12289538399757727
1_1466,1,Ridicule,Neutral,"Maybe when I publish it, I'll include an inhaler.",0.6764916181564331,0.5489445924758911,0.5338975983807493,0.4127890062536831,0.1971583072946743,0.14259401977568376,0.13615558622220802,0.14259401977568376,0.13615558622220802
1_1470,0,Sadness,Sadness,I don't know. It just died. I'm getting a bunch of static.,0.21401597559452057,0.5585291981697083,0.3010948409801115,0.4409013403977016,0.14635245717401976,-0.08707886538559095,0.11762785777200663,0.08707886538559095,0.11762785777200663
1_1484,0,Anger,Anger,The big deal is that nobody touches food on my plate.,0.27085983753204346,0.7471326589584351,0.4892135362689796,0.3768907706027752,0.4298341466720223,-0.21835369873693616,0.37024188835565985,0.21835369873693616,0.37024188835565985
1_1549,1,Disgust,Neutral,On a dusty highway just outside Bakersfield. Where do you think? On Mars!,0.573530912399292,0.7501866817474365,0.5224142196951663,0.4788931571907502,0.2760671888135158,0.051116692704125666,0.2712935245566863,0.051116692704125666,0.2712935245566863
1_1560,1,Disgust,Happiness,How nice. Maybe they can carpool when they visit you in federal prison.,0.6455876231193542,0.688961386680603,0.7495118828490326,0.5153771614952056,0.20231592866993048,-0.10392425972967834,0.1735842251853974,0.10392425972967834,0.1735842251853974
1_1638,1,Frustration,Neutral,The blunt instrument that will be the focus of my murder trial?,0.49344637989997864,0.6525614261627197,0.5252317344979682,0.4897313955053513,0.16590336841305992,-0.03178535459798959,0.16283003065736845,0.03178535459798959,0.16283003065736845
1_1666,0,Frustration,Frustration,Would it work if I just punched you in the face?,0.499885231256485,0.7174033522605896,0.5179856018396071,0.5057424522890055,0.2124334248465323,-0.018100370583122083,0.2116608999715841,0.018100370583122083,0.2116608999715841
1_1722,0,Neutral,Neutral,My aunt Marion gave them to me for my 12th birthday.,0.6116020679473877,0.49051856994628906,0.7560973342995835,0.6514457810451832,0.2162786380349665,-0.14449526635219578,-0.16092721109889419,0.14449526635219578,0.16092721109889419
1_1798,1,Anger,Sadness,"If you don't like this stuff, let's go next door and build her a bear.",0.5032966136932373,0.7958719730377197,0.5049382552755763,0.37288237899964227,0.4229927796683797,-0.0016416415823390373,0.42298959403807745,0.0016416415823390373,0.42298959403807745
1_1803,1,Sadness,Neutral,"- Maybe I heard you wrong. A lot of words sound like ""yoga.""",0.6013123989105225,0.6450408101081848,0.4532092431874685,0.5056555281070874,0.20337846880545796,0.14810315572305394,0.13938528200109745,0.14810315572305394,0.13938528200109745
